start,finish,startHash,finishHash, url, -r, -l, -P, -o, -nv, -e robots=off, -x, -nd, -nH, -p, -E, -k, -K, -H, --follow-ftp, -D, -np, -A, -R, --accept-regex, --reject-regex, --exclude-domains, --ignore-case
2017-03-28 23:28:57.700768,2017-03-29 00:19:59.622848,2017-03-29 00:19:59.622992,2017-03-29 00:21:11.114203,https://www.epa.gov/ghgreporting,x,3,/Volumes/EPA_DATA/batch2/ghgreporting,/Volumes/EPA_DATA/batch2/ghgreporting_meta/ghgreporting.log,x,x,,,,x,x,x,x,,x,,x,,,,,,
2017-03-29 00:21:11.114714,2017-03-29 02:01:46.311060,2017-03-29 02:01:46.311104,2017-03-29 02:02:49.469203,https://www.fs.usda.gov/ccrc,x,3,/Volumes/EPA_DATA/batch2/fs_ccrc,/Volumes/EPA_DATA/batch2/fs_ccrc_meta/fs_ccrc.log,x,x,,,,x,x,x,x,,x,,x,,,,,,
